feature,gain
num__EXT_SOURCE_3,100844.1069255853
num__EXT_SOURCE_2,95807.76249957085
num__EXT_SOURCE_1,35449.50729846954
num__CREDIT_GOODS_RATIO,20169.377232789993
num__DAYS_BIRTH,16701.392664670944
num__DAYS_EMPLOYED,13628.90198469162
num__AMT_GOODS_PRICE,12434.973972916603
num__AMT_ANNUITY,11329.447175502777
cat__NAME_EDUCATION_TYPE,9399.121373653412
cat__CODE_GENDER,9085.315265655518
num__DAYS_ID_PUBLISH,8521.34086215496
num__AMT_CREDIT,7687.449730873108
num__EMPLOYED_BIRTH_RATIO,7683.255096316338
num__DAYS_LAST_PHONE_CHANGE,7280.114232301712
num__ANNUITY_INCOME_RATIO,6916.744356632233
num__DAYS_REGISTRATION,5660.808836221695
num__CREDIT_INCOME_RATIO,5195.325164318085
num__OWN_CAR_AGE,4302.357697963715
num__REGION_POPULATION_RELATIVE,3758.590989112854
cat__FLAG_OWN_CAR,3358.7422511577606
