threshold,precision,recall,f1,TP,FP,TN,FN,flagged
0.01,0.08146202670168527,0.9994629430719656,0.15064556603391752,3722,41968,435,2,45690
0.02,0.089565749235474,0.9830827067669173,0.1641740846207314,3661,37214,5189,63,40875
0.03,0.10248149760557249,0.9481740064446831,0.1849707954634747,3531,30924,11479,193,34455
0.04,0.11550046740297061,0.8958109559613319,0.2046186401692888,3336,25547,16856,388,28883
0.05,0.12933845074491354,0.8415682062298604,0.2242174923984976,3134,21097,21306,590,24231
0.06,0.14172884969473787,0.7854457572502686,0.240128068303095,2925,17713,24690,799,20638
0.07,0.1535159559446484,0.7298603651987111,0.25367492650146994,2718,14987,27416,1006,17705
0.08,0.16454456415279137,0.6766917293233082,0.2647197857030306,2520,12795,29608,1204,15315
0.09,0.17591137061157272,0.6310418904403867,0.2751273195574548,2350,11009,31394,1374,13359
0.1,0.18612607989051408,0.5843179377013964,0.28232241323386315,2176,9515,32888,1548,11691
0.11,0.19900594483968423,0.5483351235230934,0.2920271719699678,2042,8219,34184,1682,10261
0.12,0.20918704560475876,0.5099355531686359,0.2966723949382909,1899,7179,35224,1825,9078
0.13,0.22116571993084713,0.4809344790547798,0.302994417188293,1791,6307,36096,1933,8098
0.14,0.23401001112347053,0.4519334049409237,0.3083547086844998,1683,5509,36894,2041,7192
0.15,0.24581965932176902,0.4223952738990333,0.31077743751852216,1573,4826,37577,2151,6399
0.16,0.2555904961565339,0.39285714285714285,0.3096951735817104,1463,4261,38142,2261,5724
0.17,0.26620689655172414,0.36278195488721804,0.30708035003977724,1351,3724,38679,2373,5075
0.18,0.2756269247690277,0.33646616541353386,0.3030229746070133,1253,3293,39110,2471,4546
0.19,0.2893313667649951,0.3160580021482277,0.3021047227926078,1177,2891,39512,2547,4068
0.2,0.3002461033634126,0.29484425349087,0.2975206611570248,1098,2559,39844,2626,3657
0.21,0.3125572868927589,0.27470461868958107,0.2924110332999857,1023,2250,40153,2701,3273
0.22,0.31903302689819546,0.2516111707841031,0.2813391382675274,937,2000,40403,2787,2937
0.23,0.33182503770739064,0.23630504833512353,0.27603513174404015,880,1772,40631,2844,2652
0.24,0.3401078390709249,0.22019334049409237,0.267318663406683,820,1591,40812,2904,2411
0.25,0.3507326007326007,0.20569280343716434,0.2593094109681787,766,1418,40985,2958,2184
0.26,0.3561024610748368,0.19038668098818476,0.24811898512685915,709,1282,41121,3015,1991
0.27,0.36830357142857145,0.17722878625134264,0.23930384336475707,660,1132,41271,3064,1792
0.28,0.3852813852813853,0.16729323308270677,0.23328964613368283,623,994,41409,3101,1617
0.29,0.39576213260423787,0.1554779806659506,0.22325043377674958,579,884,41519,3145,1463
0.3,0.4072948328267477,0.1439312567132116,0.2126984126984127,536,780,41623,3188,1316
0.31,0.4153327716933446,0.1323845327604726,0.20077377316228873,493,694,41709,3231,1187
0.32,0.4257518796992481,0.12164339419978518,0.18922305764411027,453,611,41792,3271,1064
0.33,0.4382845188284519,0.11251342642320086,0.17905982905982906,419,537,41866,3305,956
0.34,0.4372093023255814,0.10096670247046187,0.16404886561954624,376,484,41919,3348,860
0.35,0.4579560155239327,0.09505907626208378,0.15743829219479652,354,419,41984,3370,773
0.36,0.4631268436578171,0.08431793770139635,0.14266242616992275,314,364,42039,3410,678
0.37,0.4781906300484653,0.079484425349087,0.13631130554915957,296,323,42080,3428,619
0.38,0.48188405797101447,0.07142857142857142,0.1244153414405987,266,286,42117,3458,552
0.39,0.48088531187122735,0.06417830290010741,0.11324330727315803,239,258,42145,3485,497
0.4,0.48,0.05477980665950591,0.09833694866232827,204,221,42182,3520,425
0.41,0.48517520215633425,0.04833512352309345,0.08791208791208792,180,191,42212,3544,371
0.42,0.5090361445783133,0.045381310418904405,0.08333333333333333,169,163,42240,3555,332
0.43,0.5102040816326531,0.040279269602577876,0.0746640119462419,150,144,42259,3574,294
0.44,0.5230769230769231,0.036519871106337275,0.06827309236947791,136,124,42279,3588,260
0.45,0.5446808510638298,0.034371643394199784,0.06466279363475626,128,107,42296,3596,235
0.46,0.5380952380952381,0.030343716433941997,0.057447890188103715,113,97,42306,3611,210
0.47,0.5489130434782609,0.027121374865735768,0.05168884339815762,101,83,42320,3623,184
0.48,0.5748502994011976,0.02577873254564984,0.04934464148033924,96,71,42332,3628,167
0.49,0.5882352941176471,0.024167561761546726,0.04642765024503482,90,63,42340,3634,153
0.5,0.6,0.020945220193340493,0.040477426050856254,78,52,42351,3646,130
